,name,task_phase_vec,count
0,10_3_HET_RS1,Late_IA,5
1,10_3_HET_RS1,Late_RS,5
2,10_3_HET_RS1,Early_IA_Correct,4
3,10_3_HET_RS1,Early_RS_Correct,3
4,10_3_HET_RS1,Early_RS_Error,2
5,10_3_HET_RS1,Early_IA_Error,1
6,10_3_HET_RS2,Early_IA_Correct,5
7,10_3_HET_RS2,Late_IA,5
8,10_3_HET_RS2,Late_RS,5
9,10_3_HET_RS2,Early_RS_Correct,3
10,10_3_HET_RS2,Early_RS_Error,2
11,10_3_HET_RS3,Early_IA_Correct,5
12,10_3_HET_RS3,Late_IA,5
13,10_3_HET_RS3,Late_RS,4
14,10_3_HET_RS3,Early_RS_Error,3
15,10_3_HET_RS3,Early_RS_Correct,2
16,13_3_HET_RS1,Late_IA,5
17,13_3_HET_RS1,Late_RS,4
18,13_3_HET_RS1,Early_IA_Correct,3
19,13_3_HET_RS1,Early_RS_Correct,3
20,13_3_HET_RS1,Early_IA_Error,2
21,13_3_HET_RS1,Early_RS_Error,2
22,13_3_HET_RS2,Late_IA,5
23,13_3_HET_RS2,Late_RS,5
24,13_3_HET_RS2,Early_IA_Error,3
25,13_3_HET_RS2,Early_RS_Correct,3
26,13_3_HET_RS2,Early_IA_Correct,2
27,13_3_HET_RS2,Early_RS_Error,2
28,13_3_HET_RS3,Early_IA_Correct,5
29,13_3_HET_RS3,Late_IA,5
30,13_3_HET_RS3,Late_RS,4
31,13_3_HET_RS3,Early_RS_Error,3
32,13_3_HET_RS3,Early_RS_Correct,2
33,13_4_WT_RS1,Late_IA,5
34,13_4_WT_RS1,Late_RS,5
35,13_4_WT_RS1,Early_RS_Correct,4
36,13_4_WT_RS1,Early_IA_Correct,3
37,13_4_WT_RS1,Early_IA_Error,2
38,13_4_WT_RS1,Early_RS_Error,1
39,13_4_WT_RS2,Late_IA,5
40,13_4_WT_RS2,Early_IA_Correct,4
41,13_4_WT_RS2,Late_RS,4
42,13_4_WT_RS2,Early_RS_Error,3
43,13_4_WT_RS2,Early_RS_Correct,2
44,13_4_WT_RS2,Early_IA_Error,1
45,13_5_HET_RS1,Late_IA,5
46,13_5_HET_RS1,Late_RS,4
47,13_5_HET_RS1,Early_IA_Error,3
48,13_5_HET_RS1,Early_RS_Error,3
49,13_5_HET_RS1,Early_IA_Correct,2
50,13_5_HET_RS1,Early_RS_Correct,2
51,13_5_HET_RS2,Late_IA,5
52,13_5_HET_RS2,Early_IA_Correct,4
53,13_5_HET_RS2,Late_RS,4
54,13_5_HET_RS2,Early_RS_Correct,3
55,13_5_HET_RS2,Early_RS_Error,2
56,13_5_HET_RS2,Early_IA_Error,1
57,13_5_HET_RS3,Late_RS,5
58,13_5_HET_RS3,Early_IA_Correct,4
59,13_5_HET_RS3,Early_RS_Correct,4
60,13_5_HET_RS3,Late_IA,4
61,13_5_HET_RS3,Early_IA_Error,1
62,13_5_HET_RS3,Early_RS_Error,1
63,13_6_WT_RS1,Early_IA_Correct,5
64,13_6_WT_RS1,Late_IA,5
65,13_6_WT_RS1,Late_RS,5
66,13_6_WT_RS1,Early_RS_Error,3
67,13_6_WT_RS1,Early_RS_Correct,2
68,13_6_WT_RS2,Late_IA,5
69,13_6_WT_RS2,Late_RS,5
70,13_6_WT_RS2,Early_IA_Error,3
71,13_6_WT_RS2,Early_RS_Correct,3
72,13_6_WT_RS2,Early_IA_Correct,2
73,13_6_WT_RS2,Early_RS_Error,2
74,13_8_HET_RS1,Early_IA_Correct,5
75,13_8_HET_RS1,Late_RS,5
76,13_8_HET_RS1,Late_IA,4
77,13_8_HET_RS1,Early_RS_Correct,3
78,13_8_HET_RS1,Early_RS_Error,2
79,13_8_HET_RS1,Early_IA_Error,1
80,13_8_HET_RS2,Late_IA,5
81,13_8_HET_RS2,Late_RS,5
82,13_8_HET_RS2,Early_IA_Error,3
83,13_8_HET_RS2,Early_RS_Correct,3
84,13_8_HET_RS2,Early_IA_Correct,2
85,13_8_HET_RS2,Early_RS_Error,2
86,13_8_HET_RS3,Late_IA,5
87,13_8_HET_RS3,Late_RS,5
88,13_8_HET_RS3,Early_IA_Correct,3
89,13_8_HET_RS3,Early_RS_Correct,3
90,13_8_HET_RS3,Early_IA_Error,2
91,13_8_HET_RS3,Early_RS_Error,2
92,14_2_WT_RS1,Late_IA,5
93,14_2_WT_RS1,Late_RS,5
94,14_2_WT_RS1,Early_IA_Correct,4
