,Source,SS,DF,MS,F,p-unc,np2,section
0,geno_day,5.137179671065237,4.0,1.2842949177663092,0.256858983553262,0.9029078109125258,0.03665822077426849,IA
1,Sex,3.162973321858873,1.0,3.162973321858873,0.6325946643717748,0.4333420192325377,0.02289306060669771,IA
2,geno_day * Sex,14.140598106712574,4.0,3.5351495266781434,0.707029905335629,0.5941470162783669,0.09481387553907185,IA
3,Residual,134.99999999999994,27.0,4.999999999999998,,,,IA
0,geno_day,527.0437665448769,4.0,131.76094163621923,7.141753394361455,0.0004658223885571875,0.5141002141068983,RS
1,Sex,2.6920539300057302,1.0,2.6920539300057302,0.1459156640326982,0.7054595440071885,0.005375234559725347,RS
2,geno_day * Sex,56.96032702237479,4.0,14.240081755593698,0.7718459731016392,0.5530467112032695,0.10261390300489866,RS
3,Residual,498.13333333333327,27.0,18.44938271604938,,,,RS
0,geno_day,106.72368169419532,4.0,26.68092042354883,4.625263893648914,0.005653428355042758,0.4066071729756803,Perseverative
1,Sex,3.7641996557659394,1.0,3.7641996557659394,0.6525418343863908,0.42626537502550943,0.023597897014116232,Perseverative
2,geno_day * Sex,21.62865748709118,4.0,5.407164371772795,0.9373575475946416,0.4573199745671447,0.12193494862066599,Perseverative
3,Residual,155.75,27.0,5.768518518518518,,,,Perseverative
0,geno_day,7.938580764159393,4.0,1.9846451910398482,1.931006131822555,0.1340555167784383,0.22244036031076336,Random
1,Sex,1.8804145152036666,1.0,1.8804145152036666,1.8295925012792436,0.18739573401755355,0.06346230877866414,Random
2,geno_day * Sex,1.8874426276534704,4.0,0.4718606569133676,0.4591076661859793,0.7649844457423528,0.06368439582882147,Random
3,Residual,27.749999999999996,27.0,1.0277777777777777,,,,Random
