,category_compared_within,group_1,group_2,group_1_n,group_2_n,group_1_mean,group_1_sem,group_2_mean,group_2_sem,test_name,stat_result,pvalue,group_1_order_pos,group_2_order_pos,categorical_subgroup,tick_text,tick_pos,hue_group_1_locs,hue_group_2_locs,g1_num_loc,g2_num_loc,g1_cat_loc,g2_cat_loc,g_1_child_x,g_1_child_y,y_is_nonnan,y_is_2_elem,g_2_child_x,g_2_child_y,max_group_loc_val,numeric_var,hue_var,x_category_var,hue_is_x_axis,plot_name,date_tag,fig_name,fig_num
0,Early_IA_Correct,WT VEH,WT CLNZ,"(1080,)","(1019,)",0.0331,0.0015,0.0344,0.0019,MWU,[5.686625e+05 1.633400e-01],0.16333845438458272,[0],[0],Early_IA_Correct,Early_IA_Correct,"(0, 0)","[[-0.25        0.03307908]
 [ 0.75        0.03689703]
 [ 1.75        0.02623584]
 [ 2.75        0.02357742]
 [ 3.75        0.0259411 ]
 [ 4.75        0.01702454]]","[[-0.125       0.03437582]
 [ 0.875       0.03791053]
 [ 1.875       0.02566449]
 [ 2.875       0.02463813]
 [ 3.875       0.02515502]
 [ 4.875       0.02109824]]",0.03462751811315095,0.03626976620075111,-0.25,-0.125,[-0.25 -0.25],[0.03153064 0.03462752],True,True,[-0.12 -0.12],[0.03248187 0.03626977],0.03626976620075111,mean_rate,geno_day,task_phase_vec,False,Mean stage activity of all cells,28_Aug_2025,supp_wtclnz_pointplot_Mean event rate by phase,2_s
1,Early_IA_Correct,WT VEH,Het VEH,"(1080,)","(874,)",0.0331,0.0015,0.0448,0.0023,MWU,[4.265675e+05 1.600000e-04],0.00015575603945268516,[0],[0],Early_IA_Correct,Early_IA_Correct,"(0, 0)","[[-0.25        0.03307908]
 [ 0.75        0.03689703]
 [ 1.75        0.02623584]
 [ 2.75        0.02357742]
 [ 3.75        0.0259411 ]
 [ 4.75        0.01702454]]","[[0.         0.04478101]
 [1.         0.04343882]
 [2.         0.03332733]
 [3.         0.02917731]
 [4.         0.030263  ]
 [5.         0.01754359]]",0.03462751811315095,0.04707271062910174,-0.25,0.0,[-0.25 -0.25],[0.03153064 0.03462752],True,True,[0. 0.],[0.04248931 0.04707271],0.04707271062910174,mean_rate,geno_day,task_phase_vec,False,Mean stage activity of all cells,28_Aug_2025,supp_wtclnz_pointplot_Mean event rate by phase,2_s
2,Early_IA_Correct,Het VEH,Het CLNZ,"(874,)","(866,)",0.0448,0.0023,0.0356,0.002,MWU,[425312.5      0. ],3.3826548723227988e-06,[0],[0],Early_IA_Correct,Early_IA_Correct,"(0, 0)","[[0.         0.04478101]
 [1.         0.04343882]
 [2.         0.03332733]
 [3.         0.02917731]
 [4.         0.030263  ]
 [5.         0.01754359]]","[[0.125      0.03561462]
 [1.125      0.03902416]
 [2.125      0.02629516]
 [3.125      0.02480182]
 [4.125      0.02939409]
 [5.125      0.01949076]]",0.04707271062910174,0.03763685810141691,0.0,0.125,[0. 0.],[0.04248931 0.04707271],True,True,[0.12 0.12],[0.03359239 0.03763686],0.04707271062910174,mean_rate,geno_day,task_phase_vec,False,Mean stage activity of all cells,28_Aug_2025,supp_wtclnz_pointplot_Mean event rate by phase,2_s
3,Early_IA_Correct,Het VEH,Het postCLNZ,"(874,)","(937,)",0.0448,0.0023,0.043,0.0021,MWU,[4.2016e+05 3.2375e-01],0.3237501872054649,[0],[0],Early_IA_Correct,Early_IA_Correct,"(0, 0)","[[0.         0.04478101]
 [1.         0.04343882]
 [2.         0.03332733]
 [3.         0.02917731]
 [4.         0.030263  ]
 [5.         0.01754359]]","[[0.25       0.04296043]
 [1.25       0.04993086]
 [2.25       0.03198438]
 [3.25       0.02695764]
 [4.25       0.02886384]
 [5.25       0.01913816]]",0.04707271062910174,0.04508134533805398,0.0,0.25,[0. 0.],[0.04248931 0.04707271],True,True,[0.25 0.25],[0.04083952 0.04508135],0.04707271062910174,mean_rate,geno_day,task_phase_vec,False,Mean stage activity of all cells,28_Aug_2025,supp_wtclnz_pointplot_Mean event rate by phase,2_s
4,Early_IA_Error,WT VEH,WT CLNZ,"(870,)","(838,)",0.0369,0.0025,0.0379,0.0028,MWU,[3.553515e+05 2.964900e-01],0.29649218029825364,[1],[1],Early_IA_Error,Early_IA_Error,"(1, 0)","[[-0.25        0.03307908]
 [ 0.75        0.03689703]
 [ 1.75        0.02623584]
 [ 2.75        0.02357742]
 [ 3.75        0.0259411 ]
 [ 4.75        0.01702454]]","[[-0.125       0.03437582]
 [ 0.875       0.03791053]
 [ 1.875       0.02566449]
 [ 2.875       0.02463813]
 [ 3.875       0.02515502]
 [ 4.875       0.02109824]]",0.03938066115892978,0.040663344113778324,0.75,0.875,[0.75 0.75],[0.0344134  0.03938066],True,True,[0.88 0.88],[0.03515772 0.04066334],0.040663344113778324,mean_rate,geno_day,task_phase_vec,False,Mean stage activity of all cells,28_Aug_2025,supp_wtclnz_pointplot_Mean event rate by phase,2_s
5,Early_IA_Error,WT VEH,Het VEH,"(870,)","(749,)",0.0369,0.0025,0.0434,0.0033,MWU,[3.12569e+05 1.02770e-01],0.10277103301510503,[1],[1],Early_IA_Error,Early_IA_Error,"(1, 0)","[[-0.25        0.03307908]
 [ 0.75        0.03689703]
 [ 1.75        0.02623584]
 [ 2.75        0.02357742]
 [ 3.75        0.0259411 ]
 [ 4.75        0.01702454]]","[[0.         0.04478101]
 [1.         0.04343882]
 [2.         0.03332733]
 [3.         0.02917731]
 [4.         0.030263  ]
 [5.         0.01754359]]",0.03938066115892978,0.04677858549320866,0.75,1.0,[0.75 0.75],[0.0344134  0.03938066],True,True,[1. 1.],[0.04009905 0.04677859],0.04677858549320866,mean_rate,geno_day,task_phase_vec,False,Mean stage activity of all cells,28_Aug_2025,supp_wtclnz_pointplot_Mean event rate by phase,2_s
6,Early_IA_Error,Het VEH,Het CLNZ,"(749,)","(742,)",0.0434,0.0033,0.039,0.0026,MWU,[2.601845e+05 1.915000e-02],0.019149067146152464,[1],[1],Early_IA_Error,Early_IA_Error,"(1, 0)","[[0.         0.04478101]
 [1.         0.04343882]
 [2.         0.03332733]
 [3.         0.02917731]
 [4.         0.030263  ]
 [5.         0.01754359]]","[[0.125      0.03561462]
 [1.125      0.03902416]
 [2.125      0.02629516]
 [3.125      0.02480182]
 [4.125      0.02939409]
 [5.125      0.01949076]]",0.04677858549320866,0.04159302660846999,1.0,1.125,[1. 1.],[0.04009905 0.04677859],True,True,[1.12 1.12],[0.03645529 0.04159303],0.04677858549320866,mean_rate,geno_day,task_phase_vec,False,Mean stage activity of all cells,28_Aug_2025,supp_wtclnz_pointplot_Mean event rate by phase,2_s
7,Early_IA_Error,Het VEH,Het postCLNZ,"(749,)","(689,)",0.0434,0.0033,0.0499,0.003,MWU,[2.31817e+05 2.40000e-04],0.0002429627438708704,[1],[1],Early_IA_Error,Early_IA_Error,"(1, 0)","[[0.         0.04478101]
 [1.         0.04343882]
 [2.         0.03332733]
 [3.         0.02917731]
 [4.         0.030263  ]
 [5.         0.01754359]]","[[0.25       0.04296043]
 [1.25       0.04993086]
 [2.25       0.03198438]
 [3.25       0.02695764]
 [4.25       0.02886384]
 [5.25       0.01913816]]",0.04677858549320866,0.05291277743043154,1.0,1.25,[1. 1.],[0.04009905 0.04677859],True,True,[1.25 1.25],[0.04694894 0.05291278],0.05291277743043154,mean_rate,geno_day,task_phase_vec,False,Mean stage activity of all cells,28_Aug_2025,supp_wtclnz_pointplot_Mean event rate by phase,2_s
8,Early_RS_Correct,WT VEH,WT CLNZ,"(1080,)","(1019,)",0.0236,0.0015,0.0246,0.0017,MWU,[5.617405e+05 3.308800e-01],0.33087500948439486,[3],[3],Early_RS_Correct,Early_RS_Correct,"(3, 0)","[[-0.25        0.03307908]
 [ 0.75        0.03689703]
 [ 1.75        0.02623584]
 [ 2.75        0.02357742]
 [ 3.75        0.0259411 ]
 [ 4.75        0.01702454]]","[[-0.125       0.03437582]
 [ 0.875       0.03791053]
 [ 1.875       0.02566449]
 [ 2.875       0.02463813]
 [ 3.875       0.02515502]
 [ 4.875       0.02109824]]",0.02510228178308819,0.02633954174728986,2.75,2.875,[2.75 2.75],[0.02205255 0.02510228],True,True,[2.88 2.88],[0.02293671 0.02633954],0.02633954174728986,mean_rate,geno_day,task_phase_vec,False,Mean stage activity of all cells,28_Aug_2025,supp_wtclnz_pointplot_Mean event rate by phase,2_s
9,Early_RS_Correct,WT VEH,Het VEH,"(1080,)","(874,)",0.0236,0.0015,0.0292,0.0021,MWU,[4.613035e+05 3.210700e-01],0.3210722814736767,[3],[3],Early_RS_Correct,Early_RS_Correct,"(3, 0)","[[-0.25        0.03307908]
 [ 0.75        0.03689703]
 [ 1.75        0.02623584]
 [ 2.75        0.02357742]
 [ 3.75        0.0259411 ]
 [ 4.75        0.01702454]]","[[0.         0.04478101]
 [1.         0.04343882]
 [2.         0.03332733]
 [3.         0.02917731]
 [4.         0.030263  ]
 [5.         0.01754359]]",0.02510228178308819,0.03131607652924392,2.75,3.0,[2.75 2.75],[0.02205255 0.02510228],True,True,[3. 3.],[0.02703855 0.03131608],0.03131607652924392,mean_rate,geno_day,task_phase_vec,False,Mean stage activity of all cells,28_Aug_2025,supp_wtclnz_pointplot_Mean event rate by phase,2_s
