,category_compared_within,group_1,group_2,group_1_n,group_2_n,group_1_mean,group_1_sem,group_2_mean,group_2_sem,test_name,stat_result,pvalue,group_1_order_pos,group_2_order_pos,categorical_subgroup,tick_text,tick_pos,hue_group_1_locs,hue_group_2_locs,g1_num_loc,g2_num_loc,g1_cat_loc,g2_cat_loc,g_1_child_x,g_1_child_y,y_is_nonnan,y_is_2_elem,g_2_child_x,g_2_child_y,max_group_loc_val,numeric_var,hue_var,x_category_var,hue_is_x_axis,plot_name,date_tag,fig_name,fig_num
0,-3-0,WT VEH,Het VEH,"(1000,)","(1000,)",0.984,0.0038,0.9445,0.0071,robust_cohen_d,[6.96693e+00 0.00000e+00 1.00000e-04],1.6197043706256409e-12,[0],[0],-3-0,-3-0,"(0, 0)","[[-0.05        0.983975  ]
 [ 0.95        0.98200875]
 [ 1.95        0.9900575 ]
 [ 2.95        0.99646125]
 [ 3.95        0.99388375]
 [ 4.95        0.98923875]]","[[-0.01666667  0.94448   ]
 [ 0.98333333  0.97572   ]
 [ 1.98333333  0.90608875]
 [ 2.98333333  0.94150125]
 [ 3.98333333  0.957805  ]
 [ 4.98333333  0.95129625]]",0.99,0.9575,-0.05,-0.01666666666666667,[-0.05 -0.05],[0.9775 0.99  ],True,True,[-0.02 -0.02],[0.9325 0.9575],0.99,mean_acc,geno_day,bin_name,False,"Early RS Error ensemble:
Classify Error activity as Early IA vs Early RS",28_Aug_2025,5D_Early RS Error ensemble time-based classification of Early IA Error v Early RS Error,5
1,-3-0,Het VEH,Het CLNZ,"(1000,)","(1000,)",0.9445,0.0071,0.9932,0.0024,robust_cohen_d,[9.204e+00 0.000e+00 1.000e-04],0.0,[0],[0],-3-0,-3-0,"(0, 0)","[[-0.01666667  0.94448   ]
 [ 0.98333333  0.97572   ]
 [ 1.98333333  0.90608875]
 [ 2.98333333  0.94150125]
 [ 3.98333333  0.957805  ]
 [ 4.98333333  0.95129625]]","[[0.01666667 0.9929225 ]
 [1.01666667 0.996995  ]
 [2.01666667 0.99573125]
 [3.01666667 0.9889275 ]
 [4.01666667 0.9943625 ]
 [5.01666667 0.98812875]]",0.9575,0.9975,-0.01666666666666667,0.016666666666666663,[-0.02 -0.02],[0.9325 0.9575],True,True,[0.02 0.02],[0.98875 0.9975 ],0.9975,mean_acc,geno_day,bin_name,False,"Early RS Error ensemble:
Classify Error activity as Early IA vs Early RS",28_Aug_2025,5D_Early RS Error ensemble time-based classification of Early IA Error v Early RS Error,5
2,-3-0,Het VEH,Het postCLNZ,"(1000,)","(1000,)",0.9445,0.0071,0.9934,0.0024,robust_cohen_d,[9.25601e+00 0.00000e+00 1.00000e-04],0.0,[0],[0],-3-0,-3-0,"(0, 0)","[[-0.01666667  0.94448   ]
 [ 0.98333333  0.97572   ]
 [ 1.98333333  0.90608875]
 [ 2.98333333  0.94150125]
 [ 3.98333333  0.957805  ]
 [ 4.98333333  0.95129625]]","[[0.05       0.99318875]
 [1.05       0.9915775 ]
 [2.05       0.98971   ]
 [3.05       0.9881475 ]
 [4.05       0.99465375]
 [5.05       0.99208125]]",0.9575,0.9975,-0.01666666666666667,0.05,[-0.02 -0.02],[0.9325 0.9575],True,True,[0.05 0.05],[0.98875 0.9975 ],0.9975,mean_acc,geno_day,bin_name,False,"Early RS Error ensemble:
Classify Error activity as Early IA vs Early RS",28_Aug_2025,5D_Early RS Error ensemble time-based classification of Early IA Error v Early RS Error,5
3,0-3,WT VEH,Het VEH,"(1000,)","(1000,)",0.9823,0.0038,0.9759,0.0044,robust_cohen_d,[1.56389e+00 5.89200e-02 1.00000e-04],0.058921938882211755,[1],[1],0-3,0-3,"(1, 0)","[[-0.05        0.983975  ]
 [ 0.95        0.98200875]
 [ 1.95        0.9900575 ]
 [ 2.95        0.99646125]
 [ 3.95        0.99388375]
 [ 4.95        0.98923875]]","[[-0.01666667  0.94448   ]
 [ 0.98333333  0.97572   ]
 [ 1.98333333  0.90608875]
 [ 2.98333333  0.94150125]
 [ 3.98333333  0.957805  ]
 [ 4.98333333  0.95129625]]",0.98875,0.98375,0.95,0.9833333333333333,[0.95 0.95],[0.975   0.98875],True,True,[0.98 0.98],[0.9675  0.98375],0.98875,mean_acc,geno_day,bin_name,False,"Early RS Error ensemble:
Classify Error activity as Early IA vs Early RS",28_Aug_2025,5D_Early RS Error ensemble time-based classification of Early IA Error v Early RS Error,5
4,0-3,Het VEH,Het CLNZ,"(1000,)","(1000,)",0.9759,0.0044,0.9971,0.0015,robust_cohen_d,[6.46302e+00 0.00000e+00 1.00000e-04],5.13155073988969e-11,[1],[1],0-3,0-3,"(1, 0)","[[-0.01666667  0.94448   ]
 [ 0.98333333  0.97572   ]
 [ 1.98333333  0.90608875]
 [ 2.98333333  0.94150125]
 [ 3.98333333  0.957805  ]
 [ 4.98333333  0.95129625]]","[[0.01666667 0.9929225 ]
 [1.01666667 0.996995  ]
 [2.01666667 0.99573125]
 [3.01666667 0.9889275 ]
 [4.01666667 0.9943625 ]
 [5.01666667 0.98812875]]",0.98375,1.0,0.9833333333333333,1.0166666666666666,[0.98 0.98],[0.9675  0.98375],True,True,[1.02 1.02],[0.99375 1.     ],1.0,mean_acc,geno_day,bin_name,False,"Early RS Error ensemble:
Classify Error activity as Early IA vs Early RS",28_Aug_2025,5D_Early RS Error ensemble time-based classification of Early IA Error v Early RS Error,5
5,0-3,Het VEH,Het postCLNZ,"(1000,)","(1000,)",0.9759,0.0044,0.9919,0.0025,robust_cohen_d,[4.51229e+00 0.00000e+00 1.00000e-04],3.206517357634553e-06,[1],[1],0-3,0-3,"(1, 0)","[[-0.01666667  0.94448   ]
 [ 0.98333333  0.97572   ]
 [ 1.98333333  0.90608875]
 [ 2.98333333  0.94150125]
 [ 3.98333333  0.957805  ]
 [ 4.98333333  0.95129625]]","[[0.05       0.99318875]
 [1.05       0.9915775 ]
 [2.05       0.98971   ]
 [3.05       0.9881475 ]
 [4.05       0.99465375]
 [5.05       0.99208125]]",0.98375,0.9962500000000001,0.9833333333333333,1.05,[0.98 0.98],[0.9675  0.98375],True,True,[1.05 1.05],[0.98625 0.99625],0.9962500000000001,mean_acc,geno_day,bin_name,False,"Early RS Error ensemble:
Classify Error activity as Early IA vs Early RS",28_Aug_2025,5D_Early RS Error ensemble time-based classification of Early IA Error v Early RS Error,5
6,3-6,WT VEH,Het VEH,"(1000,)","(1000,)",0.9902,0.0029,0.9063,0.0085,robust_cohen_d,[1.318343e+01 0.000000e+00 1.000000e-04],0.0,[2],[2],3-6,3-6,"(2, 0)","[[-0.05        0.983975  ]
 [ 0.95        0.98200875]
 [ 1.95        0.9900575 ]
 [ 2.95        0.99646125]
 [ 3.95        0.99388375]
 [ 4.95        0.98923875]]","[[-0.01666667  0.94448   ]
 [ 0.98333333  0.97572   ]
 [ 1.98333333  0.90608875]
 [ 2.98333333  0.94150125]
 [ 3.98333333  0.957805  ]
 [ 4.98333333  0.95129625]]",0.995,0.9212500000000001,1.95,1.9833333333333334,[1.95 1.95],[0.985 0.995],True,True,[1.98 1.98],[0.89125 0.92125],0.995,mean_acc,geno_day,bin_name,False,"Early RS Error ensemble:
Classify Error activity as Early IA vs Early RS",28_Aug_2025,5D_Early RS Error ensemble time-based classification of Early IA Error v Early RS Error,5
7,3-6,Het VEH,Het CLNZ,"(1000,)","(1000,)",0.9063,0.0085,0.9961,0.0019,robust_cohen_d,[1.452554e+01 0.000000e+00 1.000000e-04],0.0,[2],[2],3-6,3-6,"(2, 0)","[[-0.01666667  0.94448   ]
 [ 0.98333333  0.97572   ]
 [ 1.98333333  0.90608875]
 [ 2.98333333  0.94150125]
 [ 3.98333333  0.957805  ]
 [ 4.98333333  0.95129625]]","[[0.01666667 0.9929225 ]
 [1.01666667 0.996995  ]
 [2.01666667 0.99573125]
 [3.01666667 0.9889275 ]
 [4.01666667 0.9943625 ]
 [5.01666667 0.98812875]]",0.9212500000000001,0.99875,1.9833333333333334,2.0166666666666666,[1.98 1.98],[0.89125 0.92125],True,True,[2.02 2.02],[0.9925  0.99875],0.99875,mean_acc,geno_day,bin_name,False,"Early RS Error ensemble:
Classify Error activity as Early IA vs Early RS",28_Aug_2025,5D_Early RS Error ensemble time-based classification of Early IA Error v Early RS Error,5
8,3-6,Het VEH,Het postCLNZ,"(1000,)","(1000,)",0.9063,0.0085,0.99,0.0029,robust_cohen_d,[1.314842e+01 0.000000e+00 1.000000e-04],0.0,[2],[2],3-6,3-6,"(2, 0)","[[-0.01666667  0.94448   ]
 [ 0.98333333  0.97572   ]
 [ 1.98333333  0.90608875]
 [ 2.98333333  0.94150125]
 [ 3.98333333  0.957805  ]
 [ 4.98333333  0.95129625]]","[[0.05       0.99318875]
 [1.05       0.9915775 ]
 [2.05       0.98971   ]
 [3.05       0.9881475 ]
 [4.05       0.99465375]
 [5.05       0.99208125]]",0.9212500000000001,0.995,1.9833333333333334,2.05,[1.98 1.98],[0.89125 0.92125],True,True,[2.05 2.05],[0.985 0.995],0.995,mean_acc,geno_day,bin_name,False,"Early RS Error ensemble:
Classify Error activity as Early IA vs Early RS",28_Aug_2025,5D_Early RS Error ensemble time-based classification of Early IA Error v Early RS Error,5
9,6-9,WT VEH,Het VEH,"(1000,)","(1000,)",0.9968,0.0015,0.9418,0.0071,robust_cohen_d,[1.070498e+01 0.000000e+00 1.000000e-04],0.0,[3],[3],6-9,6-9,"(3, 0)","[[-0.05        0.983975  ]
 [ 0.95        0.98200875]
 [ 1.95        0.9900575 ]
 [ 2.95        0.99646125]
 [ 3.95        0.99388375]
 [ 4.95        0.98923875]]","[[-0.01666667  0.94448   ]
 [ 0.98333333  0.97572   ]
 [ 1.98333333  0.90608875]
 [ 2.98333333  0.94150125]
 [ 3.98333333  0.957805  ]
 [ 4.98333333  0.95129625]]",0.99875,0.95375,2.95,2.9833333333333334,[2.95 2.95],[0.99375 0.99875],True,True,[2.98 2.98],[0.92875 0.95375],0.99875,mean_acc,geno_day,bin_name,False,"Early RS Error ensemble:
Classify Error activity as Early IA vs Early RS",28_Aug_2025,5D_Early RS Error ensemble time-based classification of Early IA Error v Early RS Error,5
