,category_compared_within,group_1,group_2,group_1_n,group_2_n,group_1_mean,group_1_sem,group_2_mean,group_2_sem,test_name,stat_result,pvalue,group_1_order_pos,group_2_order_pos,categorical_subgroup,tick_text,tick_pos,hue_group_1_locs,hue_group_2_locs,g1_num_loc,g2_num_loc,g1_cat_loc,g2_cat_loc,g_1_child_x,g_1_child_y,y_is_nonnan,y_is_2_elem,g_2_child_x,g_2_child_y,max_group_loc_val,numeric_var,hue_var,x_category_var,hue_is_x_axis,plot_name,date_tag,fig_name,fig_num
0,-3-0,WT VEH,Het VEH,"(1000,)","(1000,)",0.99,0.0029,0.9875,0.0029,robust_cohen_d,[8.5367e-01 1.9664e-01 1.0000e-04],0.19664482233976666,[0],[0],-3-0,-3-0,"(0, 0)","[[-0.05        0.98961375]
 [ 0.95        0.99524625]
 [ 1.95        0.99632625]
 [ 2.95        0.9928275 ]
 [ 3.95        0.9979675 ]
 [ 4.95        0.99675875]]","[[-0.01666667  0.98730625]
 [ 0.98333333  0.9899125 ]
 [ 1.98333333  0.965815  ]
 [ 2.98333333  0.9824025 ]
 [ 3.98333333  0.9869525 ]
 [ 4.98333333  0.98735625]]",0.995,0.9925,-0.05,-0.01666666666666667,[-0.05 -0.05],[0.98375 0.995  ],True,True,[-0.02 -0.02],[0.98125 0.9925 ],0.995,mean_acc,geno_day,bin_name,False,"Early RS Correct ensemble:
Classify Correct activity as Early IA vs Early RS",28_Aug_2025,6D_Early RS Correct ensemble time-based classification of Early IA Correct v Early RS Correct,6
1,-3-0,Het VEH,Het CLNZ,"(1000,)","(1000,)",0.9875,0.0029,0.9942,0.0024,robust_cohen_d,[2.50632e+00 6.10000e-03 1.00000e-04],0.0060997183093511875,[0],[0],-3-0,-3-0,"(0, 0)","[[-0.01666667  0.98730625]
 [ 0.98333333  0.9899125 ]
 [ 1.98333333  0.965815  ]
 [ 2.98333333  0.9824025 ]
 [ 3.98333333  0.9869525 ]
 [ 4.98333333  0.98735625]]","[[0.01666667 0.99384875]
 [1.01666667 0.98344125]
 [2.01666667 0.99577375]
 [3.01666667 0.9964075 ]
 [4.01666667 0.99385875]
 [5.01666667 0.992325  ]]",0.9925,0.9975,-0.01666666666666667,0.016666666666666663,[-0.02 -0.02],[0.98125 0.9925 ],True,True,[0.02 0.02],[0.99   0.9975],0.9975,mean_acc,geno_day,bin_name,False,"Early RS Correct ensemble:
Classify Correct activity as Early IA vs Early RS",28_Aug_2025,6D_Early RS Correct ensemble time-based classification of Early IA Correct v Early RS Correct,6
2,-3-0,Het VEH,Het postCLNZ,"(1000,)","(1000,)",0.9875,0.0029,0.9968,0.0015,robust_cohen_d,[3.97689e+00 3.00000e-05 1.00000e-04],3.49115620954521e-05,[0],[0],-3-0,-3-0,"(0, 0)","[[-0.01666667  0.98730625]
 [ 0.98333333  0.9899125 ]
 [ 1.98333333  0.965815  ]
 [ 2.98333333  0.9824025 ]
 [ 3.98333333  0.9869525 ]
 [ 4.98333333  0.98735625]]","[[0.05       0.9964525 ]
 [1.05       0.99628375]
 [2.05       0.99780125]
 [3.05       0.9967725 ]
 [4.05       0.99621   ]
 [5.05       0.99646   ]]",0.9925,0.99875,-0.01666666666666667,0.05,[-0.02 -0.02],[0.98125 0.9925 ],True,True,[0.05 0.05],[0.99375 0.99875],0.99875,mean_acc,geno_day,bin_name,False,"Early RS Correct ensemble:
Classify Correct activity as Early IA vs Early RS",28_Aug_2025,6D_Early RS Correct ensemble time-based classification of Early IA Correct v Early RS Correct,6
3,0-3,WT VEH,Het VEH,"(1000,)","(1000,)",0.9954,0.002,0.9901,0.0029,robust_cohen_d,[2.09845e+00 1.79300e-02 1.00000e-04],0.017932656292462656,[1],[1],0-3,0-3,"(1, 0)","[[-0.05        0.98961375]
 [ 0.95        0.99524625]
 [ 1.95        0.99632625]
 [ 2.95        0.9928275 ]
 [ 3.95        0.9979675 ]
 [ 4.95        0.99675875]]","[[-0.01666667  0.98730625]
 [ 0.98333333  0.9899125 ]
 [ 1.98333333  0.965815  ]
 [ 2.98333333  0.9824025 ]
 [ 3.98333333  0.9869525 ]
 [ 4.98333333  0.98735625]]",0.99875,0.995,0.95,0.9833333333333333,[0.95 0.95],[0.99125 0.99875],True,True,[0.98 0.98],[0.98484375 0.995     ],0.99875,mean_acc,geno_day,bin_name,False,"Early RS Correct ensemble:
Classify Correct activity as Early IA vs Early RS",28_Aug_2025,6D_Early RS Correct ensemble time-based classification of Early IA Correct v Early RS Correct,6
4,0-3,Het VEH,Het CLNZ,"(1000,)","(1000,)",0.9901,0.0029,0.9838,0.0037,robust_cohen_d,[1.89134e+00 2.92900e-02 1.00000e-04],0.029289621529863696,[1],[1],0-3,0-3,"(1, 0)","[[-0.01666667  0.98730625]
 [ 0.98333333  0.9899125 ]
 [ 1.98333333  0.965815  ]
 [ 2.98333333  0.9824025 ]
 [ 3.98333333  0.9869525 ]
 [ 4.98333333  0.98735625]]","[[0.01666667 0.99384875]
 [1.01666667 0.98344125]
 [2.01666667 0.99577375]
 [3.01666667 0.9964075 ]
 [4.01666667 0.99385875]
 [5.01666667 0.992325  ]]",0.995,0.99,0.9833333333333333,1.0166666666666666,[0.98 0.98],[0.98484375 0.995     ],True,True,[1.02 1.02],[0.97625 0.99   ],0.995,mean_acc,geno_day,bin_name,False,"Early RS Correct ensemble:
Classify Correct activity as Early IA vs Early RS",28_Aug_2025,6D_Early RS Correct ensemble time-based classification of Early IA Correct v Early RS Correct,6
5,0-3,Het VEH,Het postCLNZ,"(1000,)","(1000,)",0.9901,0.0029,0.9965,0.0019,robust_cohen_d,[2.57504e+00 5.01000e-03 1.00000e-04],0.005011486870084458,[1],[1],0-3,0-3,"(1, 0)","[[-0.01666667  0.98730625]
 [ 0.98333333  0.9899125 ]
 [ 1.98333333  0.965815  ]
 [ 2.98333333  0.9824025 ]
 [ 3.98333333  0.9869525 ]
 [ 4.98333333  0.98735625]]","[[0.05       0.9964525 ]
 [1.05       0.99628375]
 [2.05       0.99780125]
 [3.05       0.9967725 ]
 [4.05       0.99621   ]
 [5.05       0.99646   ]]",0.995,0.99875,0.9833333333333333,1.05,[0.98 0.98],[0.98484375 0.995     ],True,True,[1.05 1.05],[0.9925  0.99875],0.99875,mean_acc,geno_day,bin_name,False,"Early RS Correct ensemble:
Classify Correct activity as Early IA vs Early RS",28_Aug_2025,6D_Early RS Correct ensemble time-based classification of Early IA Correct v Early RS Correct,6
6,3-6,WT VEH,Het VEH,"(1000,)","(1000,)",0.9965,0.0019,0.9659,0.0053,robust_cohen_d,[7.69583e+00 0.00000e+00 1.00000e-04],6.994405055138486e-15,[2],[2],3-6,3-6,"(2, 0)","[[-0.05        0.98961375]
 [ 0.95        0.99524625]
 [ 1.95        0.99632625]
 [ 2.95        0.9928275 ]
 [ 3.95        0.9979675 ]
 [ 4.95        0.99675875]]","[[-0.01666667  0.98730625]
 [ 0.98333333  0.9899125 ]
 [ 1.98333333  0.965815  ]
 [ 2.98333333  0.9824025 ]
 [ 3.98333333  0.9869525 ]
 [ 4.98333333  0.98735625]]",0.99875,0.975,1.95,1.9833333333333334,[1.95 1.95],[0.99375 0.99875],True,True,[1.98 1.98],[0.95625 0.975  ],0.99875,mean_acc,geno_day,bin_name,False,"Early RS Correct ensemble:
Classify Correct activity as Early IA vs Early RS",28_Aug_2025,6D_Early RS Correct ensemble time-based classification of Early IA Correct v Early RS Correct,6
7,3-6,Het VEH,Het CLNZ,"(1000,)","(1000,)",0.9659,0.0053,0.9962,0.0019,robust_cohen_d,[7.59704e+00 0.00000e+00 1.00000e-04],1.509903313490213e-14,[2],[2],3-6,3-6,"(2, 0)","[[-0.01666667  0.98730625]
 [ 0.98333333  0.9899125 ]
 [ 1.98333333  0.965815  ]
 [ 2.98333333  0.9824025 ]
 [ 3.98333333  0.9869525 ]
 [ 4.98333333  0.98735625]]","[[0.01666667 0.99384875]
 [1.01666667 0.98344125]
 [2.01666667 0.99577375]
 [3.01666667 0.9964075 ]
 [4.01666667 0.99385875]
 [5.01666667 0.992325  ]]",0.975,0.99875,1.9833333333333334,2.0166666666666666,[1.98 1.98],[0.95625 0.975  ],True,True,[2.02 2.02],[0.9925  0.99875],0.99875,mean_acc,geno_day,bin_name,False,"Early RS Correct ensemble:
Classify Correct activity as Early IA vs Early RS",28_Aug_2025,6D_Early RS Correct ensemble time-based classification of Early IA Correct v Early RS Correct,6
8,3-6,Het VEH,Het postCLNZ,"(1000,)","(1000,)",0.9659,0.0053,0.9981,0.0014,robust_cohen_d,[8.31065e+00 0.00000e+00 1.00000e-04],0.0,[2],[2],3-6,3-6,"(2, 0)","[[-0.01666667  0.98730625]
 [ 0.98333333  0.9899125 ]
 [ 1.98333333  0.965815  ]
 [ 2.98333333  0.9824025 ]
 [ 3.98333333  0.9869525 ]
 [ 4.98333333  0.98735625]]","[[0.05       0.9964525 ]
 [1.05       0.99628375]
 [2.05       0.99780125]
 [3.05       0.9967725 ]
 [4.05       0.99621   ]
 [5.05       0.99646   ]]",0.975,1.0,1.9833333333333334,2.05,[1.98 1.98],[0.95625 0.975  ],True,True,[2.05 2.05],[0.995 1.   ],1.0,mean_acc,geno_day,bin_name,False,"Early RS Correct ensemble:
Classify Correct activity as Early IA vs Early RS",28_Aug_2025,6D_Early RS Correct ensemble time-based classification of Early IA Correct v Early RS Correct,6
9,6-9,WT VEH,Het VEH,"(1000,)","(1000,)",0.9931,0.0024,0.9826,0.0039,robust_cohen_d,[3.26521e+00 5.50000e-04 1.00000e-04],0.0005469112400428022,[3],[3],6-9,6-9,"(3, 0)","[[-0.05        0.98961375]
 [ 0.95        0.99524625]
 [ 1.95        0.99632625]
 [ 2.95        0.9928275 ]
 [ 3.95        0.9979675 ]
 [ 4.95        0.99675875]]","[[-0.01666667  0.98730625]
 [ 0.98333333  0.9899125 ]
 [ 1.98333333  0.965815  ]
 [ 2.98333333  0.9824025 ]
 [ 3.98333333  0.9869525 ]
 [ 4.98333333  0.98735625]]",0.9975,0.9899999999999999,2.95,2.9833333333333334,[2.95 2.95],[0.98875 0.9975 ],True,True,[2.98 2.98],[0.975 0.99 ],0.9975,mean_acc,geno_day,bin_name,False,"Early RS Correct ensemble:
Classify Correct activity as Early IA vs Early RS",28_Aug_2025,6D_Early RS Correct ensemble time-based classification of Early IA Correct v Early RS Correct,6
