,category_compared_within,group_1,group_2,group_1_n,group_2_n,group_1_mean,group_1_sem,group_2_mean,group_2_sem,test_name,stat_result,pvalue,group_1_order_pos,group_2_order_pos,categorical_subgroup,tick_text,tick_pos,hue_group_1_locs,hue_group_2_locs,g1_num_loc,g2_num_loc,g1_cat_loc,g2_cat_loc,g_1_child_x,g_1_child_y,y_is_nonnan,y_is_2_elem,g_2_child_x,g_2_child_y,max_group_loc_val,numeric_var,hue_var,x_category_var,hue_is_x_axis,plot_name,date_tag,fig_name,fig_num
0,Early_IA_Correct,WT VEH,WT CLNZ,"(29,)","(21,)",57.9608,3.2414,60.1368,3.2958,MWU,[299.        0.92165],0.9216458625364575,[0],[0],Early_IA_Correct,Early_IA_Correct,"(0, 0)","[[-0.25       57.96078915]
 [ 0.75       75.51781552]
 [ 1.75       49.90228767]
 [ 2.75       59.62587759]
 [ 3.75       64.40018315]
 [ 4.75       48.07692308]]","[[-0.125      60.13683334]
 [ 0.875      70.27290448]
 [ 1.875      56.33679284]
 [ 2.875      66.29831707]
 [ 3.875      69.3452381 ]
 [ 4.875      54.74867725]]",61.202204146637385,63.43265097503307,-0.25,-0.125,[-0.25 -0.25],[54.71937415 61.20220415],True,True,[-0.12 -0.12],[56.84101571 63.43265098],63.43265097503307,active_in_trial,geno_day,task_phase_vec,False,Mean % of cells active in stage that are in stage ensemble,28_Aug_2025,Mean % of cells active in stage that are in stage ensemble,2_s
1,Early_IA_Correct,WT VEH,Het VEH,"(29,)","(27,)",57.9608,3.2414,68.7793,3.0539,MWU,[2.520e+02 2.255e-02],0.02254736609047975,[0],[0],Early_IA_Correct,Early_IA_Correct,"(0, 0)","[[-0.25       57.96078915]
 [ 0.75       75.51781552]
 [ 1.75       49.90228767]
 [ 2.75       59.62587759]
 [ 3.75       64.40018315]
 [ 4.75       48.07692308]]","[[ 0.         68.77926059]
 [ 1.         84.25925926]
 [ 2.         60.50809213]
 [ 3.         75.24305556]
 [ 4.         73.50877193]
 [ 5.         59.03318903]]",61.202204146637385,71.83317016787719,-0.25,0.0,[-0.25 -0.25],[54.71937415 61.20220415],True,True,[0. 0.],[65.72535102 71.83317017],71.83317016787719,active_in_trial,geno_day,task_phase_vec,False,Mean % of cells active in stage that are in stage ensemble,28_Aug_2025,Mean % of cells active in stage that are in stage ensemble,2_s
2,Early_IA_Correct,Het VEH,Het CLNZ,"(27,)","(21,)",68.7793,3.0539,67.3485,3.4935,MWU,[300.5       0.73135],0.7313476762046617,[0],[0],Early_IA_Correct,Early_IA_Correct,"(0, 0)","[[ 0.         68.77926059]
 [ 1.         84.25925926]
 [ 2.         60.50809213]
 [ 3.         75.24305556]
 [ 4.         73.50877193]
 [ 5.         59.03318903]]","[[ 0.125      67.34848485]
 [ 1.125      77.68707483]
 [ 2.125      56.41146155]
 [ 3.125      66.894509  ]
 [ 4.125      71.89360119]
 [ 5.125      67.3964924 ]]",71.83317016787719,70.84196121547043,0.0,0.125,[0. 0.],[65.72535102 71.83317017],True,True,[0.12 0.12],[63.85500848 70.84196122],71.83317016787719,active_in_trial,geno_day,task_phase_vec,False,Mean % of cells active in stage that are in stage ensemble,28_Aug_2025,Mean % of cells active in stage that are in stage ensemble,2_s
3,Early_IA_Correct,Het VEH,Het postCLNZ,"(27,)","(26,)",68.7793,3.0539,68.0042,2.2821,MWU,[380.        0.61188],0.6118814438611342,[0],[0],Early_IA_Correct,Early_IA_Correct,"(0, 0)","[[ 0.         68.77926059]
 [ 1.         84.25925926]
 [ 2.         60.50809213]
 [ 3.         75.24305556]
 [ 4.         73.50877193]
 [ 5.         59.03318903]]","[[ 0.25       68.00423161]
 [ 1.25       80.59912854]
 [ 2.25       63.88888889]
 [ 3.25       69.25128385]
 [ 4.25       73.67724868]
 [ 5.25       54.63319088]]",71.83317016787719,70.28628783057313,0.0,0.25,[0. 0.],[65.72535102 71.83317017],True,True,[0.25 0.25],[65.72217538 70.28628783],71.83317016787719,active_in_trial,geno_day,task_phase_vec,False,Mean % of cells active in stage that are in stage ensemble,28_Aug_2025,Mean % of cells active in stage that are in stage ensemble,2_s
4,Early_IA_Error,WT VEH,WT CLNZ,"(11,)","(9,)",75.5178,6.4808,70.2729,6.383,MWU,[57.       0.59177],0.5917720767070311,[1],[1],Early_IA_Error,Early_IA_Error,"(1, 0)","[[-0.25       57.96078915]
 [ 0.75       75.51781552]
 [ 1.75       49.90228767]
 [ 2.75       59.62587759]
 [ 3.75       64.40018315]
 [ 4.75       48.07692308]]","[[-0.125      60.13683334]
 [ 0.875      70.27290448]
 [ 1.875      56.33679284]
 [ 2.875      66.29831707]
 [ 3.875      69.3452381 ]
 [ 4.875      54.74867725]]",81.99861714670662,76.6559021437787,0.75,0.875,[0.75 0.75],[69.03701389 81.99861715],True,True,[0.88 0.88],[63.88990682 76.65590214],81.99861714670662,active_in_trial,geno_day,task_phase_vec,False,Mean % of cells active in stage that are in stage ensemble,28_Aug_2025,Mean % of cells active in stage that are in stage ensemble,2_s
5,Early_IA_Error,WT VEH,Het VEH,"(11,)","(9,)",75.5178,6.4808,84.2593,6.8179,MWU,[37.      0.3514],0.351402701249636,[1],[1],Early_IA_Error,Early_IA_Error,"(1, 0)","[[-0.25       57.96078915]
 [ 0.75       75.51781552]
 [ 1.75       49.90228767]
 [ 2.75       59.62587759]
 [ 3.75       64.40018315]
 [ 4.75       48.07692308]]","[[ 0.         68.77926059]
 [ 1.         84.25925926]
 [ 2.         60.50809213]
 [ 3.         75.24305556]
 [ 4.         73.50877193]
 [ 5.         59.03318903]]",81.99861714670662,91.07720513286694,0.75,1.0,[0.75 0.75],[69.03701389 81.99861715],True,True,[1. 1.],[77.44131339 91.07720513],91.07720513286694,active_in_trial,geno_day,task_phase_vec,False,Mean % of cells active in stage that are in stage ensemble,28_Aug_2025,Mean % of cells active in stage that are in stage ensemble,2_s
6,Early_IA_Error,Het VEH,Het CLNZ,"(9,)","(14,)",84.2593,6.8179,77.6871,4.8044,MWU,[79.       0.32403],0.32403403257834085,[1],[1],Early_IA_Error,Early_IA_Error,"(1, 0)","[[ 0.         68.77926059]
 [ 1.         84.25925926]
 [ 2.         60.50809213]
 [ 3.         75.24305556]
 [ 4.         73.50877193]
 [ 5.         59.03318903]]","[[ 0.125      67.34848485]
 [ 1.125      77.68707483]
 [ 2.125      56.41146155]
 [ 3.125      66.894509  ]
 [ 4.125      71.89360119]
 [ 5.125      67.3964924 ]]",91.07720513286694,82.4914803263137,1.0,1.125,[1. 1.],[77.44131339 91.07720513],True,True,[1.12 1.12],[72.88266933 82.49148033],91.07720513286694,active_in_trial,geno_day,task_phase_vec,False,Mean % of cells active in stage that are in stage ensemble,28_Aug_2025,Mean % of cells active in stage that are in stage ensemble,2_s
7,Early_IA_Error,Het VEH,Het postCLNZ,"(9,)","(9,)",84.2593,6.8179,80.5991,4.0808,MWU,[52.       0.32634],0.326343475596656,[1],[1],Early_IA_Error,Early_IA_Error,"(1, 0)","[[ 0.         68.77926059]
 [ 1.         84.25925926]
 [ 2.         60.50809213]
 [ 3.         75.24305556]
 [ 4.         73.50877193]
 [ 5.         59.03318903]]","[[ 0.25       68.00423161]
 [ 1.25       80.59912854]
 [ 2.25       63.88888889]
 [ 3.25       69.25128385]
 [ 4.25       73.67724868]
 [ 5.25       54.63319088]]",91.07720513286694,84.6799539300216,1.0,1.25,[1. 1.],[77.44131339 91.07720513],True,True,[1.25 1.25],[76.51830315 84.67995393],91.07720513286694,active_in_trial,geno_day,task_phase_vec,False,Mean % of cells active in stage that are in stage ensemble,28_Aug_2025,Mean % of cells active in stage that are in stage ensemble,2_s
8,Late_IA,WT VEH,WT CLNZ,"(39,)","(30,)",49.9023,2.9144,56.3368,2.9078,MWU,[4.9000e+02 2.5164e-01],0.2516357260875459,[2],[2],Late_IA,Late_IA,"(2, 0)","[[-0.25       57.96078915]
 [ 0.75       75.51781552]
 [ 1.75       49.90228767]
 [ 2.75       59.62587759]
 [ 3.75       64.40018315]
 [ 4.75       48.07692308]]","[[-0.125      60.13683334]
 [ 0.875      70.27290448]
 [ 1.875      56.33679284]
 [ 2.875      66.29831707]
 [ 3.875      69.3452381 ]
 [ 4.875      54.74867725]]",52.81672051821802,59.24462894721712,1.75,1.875,[1.75 1.75],[46.98785483 52.81672052],True,True,[1.88 1.88],[53.42895673 59.24462895],59.24462894721712,active_in_trial,geno_day,task_phase_vec,False,Mean % of cells active in stage that are in stage ensemble,28_Aug_2025,Mean % of cells active in stage that are in stage ensemble,2_s
9,Late_IA,WT VEH,Het VEH,"(39,)","(34,)",49.9023,2.9144,60.5081,3.019,MWU,[4.695e+02 3.244e-02],0.032437172590853165,[2],[2],Late_IA,Late_IA,"(2, 0)","[[-0.25       57.96078915]
 [ 0.75       75.51781552]
 [ 1.75       49.90228767]
 [ 2.75       59.62587759]
 [ 3.75       64.40018315]
 [ 4.75       48.07692308]]","[[ 0.         68.77926059]
 [ 1.         84.25925926]
 [ 2.         60.50809213]
 [ 3.         75.24305556]
 [ 4.         73.50877193]
 [ 5.         59.03318903]]",52.81672051821802,63.52709279019965,1.75,2.0,[1.75 1.75],[46.98785483 52.81672052],True,True,[2. 2.],[57.48909146 63.52709279],63.52709279019965,active_in_trial,geno_day,task_phase_vec,False,Mean % of cells active in stage that are in stage ensemble,28_Aug_2025,Mean % of cells active in stage that are in stage ensemble,2_s
